Site,Year,Plant.ID,Block,Treatment,obs,time,elapsed,date,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
S2,2010,1,3,W,7,1531529516,1142.5,20180713 19:51:55,1531529508,0.005929293,10.72613723,400.0577742,349.716951,35.40971988,40.50685469,0.436305478,3.436139558,0.407699219,0.257225712,193.7335314,26.62096461,26.14320968,3.402958578,55.13930836,1.969479274,3.571824407,1.433479304,-261.4818028,152.2497078,9.519709276,94.02114569,-0.042009333,0.047159157,3.509858577,1,0,1,0,53571.43662,0,0,0,0,#DIV/0!,-1,RECT-7-20180713-19_53_26,280.4096154,319.281,0.121746626,0.5,1009.178565,10.72613723,61.43204282,1,0.011619487,-1,-,0,319.281,0.121746626,#DIV/0!,0.121746626,#DIV/0!,-,-,-,-,-,-,-,-,1199.994839,1009.178565,0.840985754,0.191971508,2,0.5,0: Broadleaf,1531529508,400.0577742,413.1446129,19.45116452,13.64224516,200.1735806,101.1525806,0.099931635,26.96507419,26.14320968,999.9,10015.32032,0,0.00152894,1199.994839,0.967003806,0.032996494,0,280.4877742,4.99999,6214.545161,11997.60323,46.69106452,48.812,47.75,48.383,48.75,1155.564839,39.43,0,179.3,280.4096154,-11.82058119,-527.4345284,6212.986923,15,1531528401,19:33:21,1,2.394,0.02,415,15,0.11,0.01,-13.08748049,-0.130576307,0.103834768,1,5.834085366,-0.480093659,0.047658172,0,1,2,02-Jan,100,100,2.394,0.02,2,183.662,461.714,19.2823,32.25,29.9974,32.1532,32.0597,15.2518,46.337,0,19.3587,413.198,13.7429,99.8426,99.9388,,,,
S2,2010,1,3,W,8,1531529520,1147,20180713 19:52:00,1531529510,0.005911722,10.75881414,400.0474194,348.8051587,35.31730899,40.50570345,0.428997283,3.43615362,0.401308809,0.253156636,193.7363992,26.62830073,26.22685806,3.419820689,55.08545779,1.967947,3.57253453,1.451873689,-260.706944,137.3813362,8.593741385,79.00453279,-0.042009552,0.047159403,3.509873024,1,0,1,0,53571.09376,0,0,0,0,#DIV/0!,-1,RECT-8-20180713-19_53_31,282.1585769,316.628,0.108864103,0.5,1009.193487,10.75881414,54.93247166,1,0.011651694,-1,-,0,316.628,0.108864103,#DIV/0!,0.108864103,#DIV/0!,-,-,-,-,-,-,-,-,1200.012581,1009.193487,0.840985756,0.191971512,2,0.5,0: Broadleaf,1531529510,400.0474194,413.159871,19.43608065,13.64426452,200.1728387,101.1522903,0.099965019,26.96845806,26.22685806,999.9,10015.40129,0,0.00152894,1200.012581,0.96700371,0.032996565,0,279.8308065,4.99999,6197.51129,11997.78387,46.69712903,48.812,47.75,48.383,48.75,1155.581935,39.43064516,0,3.899999857,282.1585769,19.89927108,28353.38359,8488.432308,15,1531528401,19:33:21,1,2.394,0.02,415,15,0.11,0.01,-13.09576829,-0.337595122,0.107803085,1,5.795044146,-0.43772216,0.043506097,0,1,2,02-Jan,100,100,2.394,0.02,2,183.967,461.971,19.3364,32.2462,29.9982,32.1494,32.0572,15.2532,46.0583,0,19.3971,413.169,13.7428,99.845,99.9415,,,,
S2,2010,1,3,W,9,1531529524,1151,20180713 19:52:04,1531529512,0.005904993,10.79235947,400.0327742,347.5926975,35.19452111,40.5041936,0.419580876,3.434712025,0.393043888,0.24789668,193.734891,26.63996231,26.36561613,3.447952926,55.03812395,1.967445307,3.57469544,1.480507619,-260.4101707,113.5356432,7.110380711,53.97074418,-0.041987099,0.047134197,3.508392027,1,0,1,0,53541.79995,0,0,0,0,#DIV/0!,-1,RECT-9-20180713-19_53_35,283.541,313.948,0.096853619,0.5,1009.185377,10.79235947,48.87162806,1,0.011685028,-1,-,0,313.948,0.096853619,#DIV/0!,0.096853619,#DIV/0!,-,-,-,-,-,-,-,-,1200.002903,1009.185377,0.84098578,0.19197156,2,0.5,0: Broadleaf,1531529512,400.0327742,413.1752903,19.43113871,13.64618387,200.183129,101.1521935,0.099994303,26.97875161,26.36561613,999.9,10010.05774,0,0.00152894,1200.002903,0.967002935,0.032997313,0,279.1322903,4.99999,6179.646452,11997.68387,46.72132258,48.812,47.75,48.389,48.756,1155.571613,39.43129032,0,3.5,283.541,15.57368934,32246.76589,10740.34115,15,1531528401,19:33:21,1,2.394,0.02,415,15,0.11,0.01,-13.14850732,-0.454193728,0.115847497,1,5.774511951,-0.264330732,0.030891268,0,1,2,02-Jan,100,100,2.394,0.02,2,184.102,461.868,19.3798,32.2433,29.9987,32.1472,32.0544,15.2632,46.0583,0,19.337,413.244,13.7093,99.843,99.9426,,,,
S2,2010,1,4,D,319,1531773655,28397.6,20180716 15:40:54,1531773647,0.003255825,8.429544912,399.5715161,329.1325827,33.25437052,40.37126662,0.22523123,3.427576468,0.217320167,0.136512732,193.7356937,27.23558161,25.83458387,3.341371304,52.21491336,1.866687536,3.575008396,1.474683768,-143.5818631,211.7032925,13.25076352,275.1078866,-0.041876022,0.047009504,3.50106155,2,1,1,0,53401.01631,0,0,0,0,#DIV/0!,-1,RECT-1015-20180716-15_42_26,342.6135769,371.89,0.07872334,0.5,1009.189945,8.429544912,39.72340181,1,0.009343677,-1,-,0,371.89,0.07872334,#DIV/0!,0.07872334,#DIV/0!,-,-,-,-,-,-,-,-,1200.008387,1009.189945,0.840985743,0.191971486,2,0.5,0: Broadleaf,1531773647,399.5715161,409.2930645,18.47539677,15.28265806,200.1837419,100.9364194,0.099978355,26.98024194,25.83458387,999.9,10004.91839,0,0.00152894,1200.008387,0.967001774,0.032997826,0,343.0715161,4.99999,6379.933226,11997.73226,47.875,50,48.937,49.34045161,49.812,1155.578387,39.43,0,80.5,342.6135769,-51.46834191,-793.6123082,6371.803846,15,1531772835,15:27:14,15,2.384,-0.009,420,12,0.13,0.01,-9.654291707,-0.394227178,0.175980624,1,299.0701765,-24.59339076,2.417994788,0,3.190333171,0.027516167,0.007459803,1,2,2,02-Feb,100,100,2.384,-0.009,2,182.179,461.474,19.7942,30.7437,30,30.7268,30.6817,15.2568,32.2747,0,19.7984,409.377,15.5466,100.172,100.256
S2,2010,1,4,D,320,1531773658,28400.6,20180716 15:40:57,1531773647,0.003255266,8.42127361,399.5849032,329.029434,33.24393411,40.37260142,0.224639015,3.42797694,0.216769602,0.13616507,193.7325169,27.23752053,25.85631935,3.345676594,52.23306583,1.867540308,3.575398608,1.478136285,-143.5572361,208.0544997,13.02239736,271.252178,-0.041882253,0.047016499,3.501472957,2,1,1,0,53408.30502,0,0,0,0,#DIV/0!,-1,RECT-1016-20180716-15_42_29,342.6336923,369.723,0.073269198,0.5,1009.173397,8.42127361,36.97066271,1,0.009335634,-1,-,0,369.723,0.073269198,#DIV/0!,0.073269198,#DIV/0!,-,-,-,-,-,-,-,-,1199.98871,1009.173397,0.840985743,0.191971486,2,0.5,0: Broadleaf,1531773647,399.5849032,409.298129,18.48384516,15.29164194,200.1812581,100.9363871,0.099966113,26.9821,25.85631935,999.9,10006.41032,0,0.00152894,1199.98871,0.967001774,0.032997826,0,342.5607742,4.99999,6371.705161,11997.53871,47.875,50,48.937,49.34045161,49.812,1155.559355,39.42935484,0,2.299999952,342.6336923,-5.960351834,46558.11363,9028.355,15,1531772835,15:27:14,15,2.384,-0.009,420,12,0.13,0.01,-9.677177561,0.735195052,0.14416175,0,299.0701765,-24.59339076,2.417994788,0,3.188333171,-0.045162439,0.010588293,1,1,2,02-Jan,100,100,2.384,-0.009,2,182.174,461.679,19.8,30.7416,30,30.7248,30.679,15.2523,32.2747,0,19.806,409.21,15.5885,100.173,100.256
S2,2010,1,4,D,321,1531773661,28404.1,20180716 15:41:01,1531773649,0.003254704,8.39273378,399.6147419,328.2889098,33.16910967,40.37561065,0.221423472,3.429169443,0.21377617,0.134275183,193.7329651,27.24918629,25.96787097,3.367848688,52.25099422,1.869457134,3.577840311,1.498391554,-143.5324328,189.6526582,11.87379128,251.7269817,-0.04190081,0.04703733,3.502698024,2,1,1,0,53428.9263,0,0,0,0,#DIV/0!,-1,RECT-1017-20180716-15_42_33,342.3974615,366.182,0.064952779,0.5,1009.175584,8.39273378,32.77437926,1,0.009307334,-1,-,0,366.182,0.064952779,#DIV/0!,0.064952779,#DIV/0!,-,-,-,-,-,-,-,-,1199.99129,1009.175584,0.840985757,0.191971514,2,0.5,0: Broadleaf,1531773649,399.6147419,409.2994839,18.50281935,15.31117742,200.178,100.9363871,0.099952177,26.99372258,25.96787097,999.9,10010.84387,0,0.00152894,1199.99129,0.967001581,0.032998065,0,341.4183548,4.99999,6354.293226,11997.56129,47.88909677,50,48.937,49.34451613,49.81403226,1155.56129,39.43,0,2.399999857,342.3974615,11.84853277,62830.6266,11667.77077,15,1531772835,15:27:14,15,2.384,-0.009,420,12,0.13,0.01,-9.640908293,1.532879373,0.160893595,0,299.0701765,-24.59339076,2.417994788,0,3.18584561,-0.112986481,0.012852295,0,0,2,0/2,100,100,2.384,-0.009,2,182.192,461.773,19.8062,30.7393,30,30.7225,30.6767,15.2538,31.9706,0,19.806,409.194,15.6132,100.175,100.255
S2,2010,1,3,W,115,1531412661,10576.9,20180712 11:24:21,1531412653,0.008316401,11.52338647,400.022,366.6079281,37.1152648,40.49809434,0.779921389,3.434438295,0.693261185,0.440269222,193.7328299,26.0974263,25.17209355,3.212447897,56.77863725,2.029411842,3.574252465,1.183036056,-366.7532876,334.125555,20.80207776,181.9071751,-0.041982836,0.047129411,3.508110816,1,0,1,0,53536.69069,0,0,0,0,#DIV/0!,-1,RECT-2567-20180712-11_25_51,346.2083846,394.36,0.122100658,0.5,1009.174781,11.52338647,61.61045228,1,0.012409532,-1,-,0,394.36,0.122100658,#DIV/0!,0.122100658,#DIV/0!,-,-,-,-,-,-,-,-,1199.990323,1009.174781,0.840985767,0.191971533,2,0.5,0: Broadleaf,1531412653,400.022,414.8584516,20.04561935,11.90343226,200.1843871,101.1396452,0.100022506,26.97664194,25.17209355,999.9,10010.28323,0,0.00152894,1199.990323,0.966999935,0.032999765,0,346.7499355,4.99999,6414.089032,11997.52581,46.25,48.375,47.32012903,47.375,48.304,1155.559355,39.43032258,0,176.8999999,346.2083846,-58.37511111,-950.3835893,6402.816154,15,1531412193,11:16:33,8,-0.133,-0.013,414,12,0.07,0.01,-14.78478293,-0.337860627,0.124842468,1,8.141453659,0.046010592,0.018467292,1,2,2,02-Feb,100,100,-0.133,-0.013,2,183.258,467.66,20.9782,29.3873,29.9991,29.3202,29.2474,15.2197,59.8649,0,21.0291,414.945,11.768,100.259,100.314,,,,
S2,2010,1,3,W,116,1531412665,10580.4,20180712 11:24:24,1531412654,0.008314476,11.5434779,400.0124839,366.3632198,37.09038743,40.49701827,0.774988361,3.433219644,0.689329906,0.437735692,193.7307337,26.09977418,25.19900323,3.217598667,56.7350369,2.028117843,3.57471847,1.189480824,-366.6683699,329.4370216,20.52045064,177.0198361,-0.041963859,0.047108107,3.506858863,1,0,1,0,53513.08237,0,0,0,0,#DIV/0!,-1,RECT-2568-20180712-11_25_55,346.8367692,391.084,0.113139967,0.5,1009.163923,11.5434779,57.08838636,1,0.012429574,-1,-,0,391.084,0.113139967,#DIV/0!,0.113139967,#DIV/0!,-,-,-,-,-,-,-,-,1199.977419,1009.163923,0.840985761,0.191971522,2,0.5,0: Broadleaf,1531412654,400.0124839,414.8683226,20.03289355,11.89239677,200.1821935,101.1393548,0.100031184,26.97886129,25.19900323,999.9,10005.7871,0,0.00152894,1199.977419,0.967000129,0.032999571,0,345.5060645,4.99999,6392.763226,11997.39355,46.252,48.375,47.32012903,47.375,48.302,1155.547419,39.42967742,0,2.700000048,346.8367692,7.916752189,44892.20372,9187.912308,15,1531412193,11:16:33,8,-0.133,-0.013,414,12,0.07,0.01,-14.85294146,-0.532714286,0.138588422,0,8.134712195,-0.0650977,0.023816268,1,1,2,02-Jan,100,100,-0.133,-0.013,2,183.581,467.58,21.007,29.3873,29.9995,29.322,29.2496,15.2242,59.8649,0,21.0411,414.951,11.7366,100.261,100.315,,,,
S2,2010,1,3,W,117,1531412668,10583.9,20180712 11:24:28,1531412655,0.008314171,11.54740455,400.004129,365.8375471,37.03703361,40.49602478,0.762174369,3.43111249,0.679118146,0.431154454,193.7325204,26.10914222,25.28549677,3.234203266,56.67059184,2.026979837,3.576775487,1.207223428,-366.6549526,315.047005,19.64562536,161.7701983,-0.041931053,0.04707128,3.504694141,1,0,1,0,53471.205,0,0,0,0,#DIV/0!,-1,RECT-2569-20180712-11_25_58,347.2853846,385.804,0.099839855,0.5,1009.173155,11.54740455,50.3778507,1,0.012433351,-1,-,0,385.804,0.099839855,#DIV/0!,0.099839855,#DIV/0!,-,-,-,-,-,-,-,-,1199.988387,1009.173155,0.840985768,0.191971536,2,0.5,0: Broadleaf,1531412655,400.004129,414.8638387,20.02172581,11.88135806,200.1803226,101.1389677,0.100049161,26.98865484,25.28549677,999.9,9998.003226,0,0.00152894,1199.988387,0.967000129,0.032999616,0,344.0279355,4.99999,6368.197097,11997.50323,46.26812903,48.375,47.32012903,47.375,48.30606452,1155.557742,39.43032258,0,2.700000048,347.2853846,24.73758917,60505.42287,11945.185,15,1531412193,11:16:33,8,-0.133,-0.013,414,12,0.07,0.01,-14.88939756,-0.166845993,0.116031368,1,8.130103171,-0.183777909,0.027953903,0,1,2,02-Jan,100,100,-0.133,-0.013,2,183.53,467.367,21.0281,29.3893,29.9998,29.3227,29.2512,15.2267,60.182,0,21.0411,415.037,11.721,100.262,100.315,,,,
S2,2010,1,4,D,235,1531852651,20270.9,20180717 13:37:31,1531852647,0.007518684,13.02681346,399.9612941,354.5762436,36.00441159,40.61290431,0.605758222,3.442933074,0.552176695,0.34952871,193.7320252,26.296198,25.84121765,3.342684786,55.79455925,1.996392083,3.578112472,1.346292703,-331.5739689,214.1630576,13.34636584,89.66747972,-0.042115205,0.047278007,3.516837879,0,0,1,0,53701.84111,0,0,0,0,#DIV/0!,-1,RECT-1258-20180717-13_39_03,270.1960385,321.74,0.160203772,0.5,1009.171888,13.02681346,80.83657144,1,0.01389933,-1,-,0,321.74,0.160203772,#DIV/0!,0.160203772,#DIV/0!,-,-,-,-,-,-,-,-,1199.987059,1009.171888,0.840985643,0.191971286,2,0.5,0: Broadleaf,1531852647,399.9612941,415.9818235,19.66073529,12.29606471,200.1681176,101.4421176,0.099968818,26.99501765,25.84121765,999.9,10011.90294,0,0.00152894,1199.987059,0.967005059,0.032994665,0,269.7324118,4.99999,4762.04,11997.50588,45.31570588,47.562,46.45182353,46.812,47.5,1155.561765,39.42529412,0,189.3,270.1960385,-8.705880342,192.3210259,4756.184231,15,1531847728,12:15:28,9,2.37,0.012,410,14,0.25,0.02,-15.9339561,-0.931662021,0.145100816,0,276.1309394,-19.85260712,1.904004853,0,7.389928537,-0.233731359,0.024724257,0,0,2,0/2,100,100,2.37,0.012,2,184.324,478.814,20.9882,29.4159,29.9997,29.3303,29.2518,15.3538,48.9408,0,21.0146,415.922,12.1983,100.364,100.446
