Plant ID,Site,Year,Block,Treatment,E,A,gsw,PhiPS2
1,S02,2010,3,W,0.005929293,10.72613723,0.436305478,0.121746626
1,S02,2010,3,W,0.005911722,10.75881414,0.428997283,0.108864103
1,S02,2010,3,W,0.005904993,10.79235947,0.419580876,0.096853619
1,S02,2010,4,D,0.003255825,8.429544912,0.22523123,0.07872334
1,S02,2010,4,D,0.003255266,8.42127361,0.224639015,0.073269198
1,S02,2010,4,D,0.003254704,8.39273378,0.221423472,0.064952779
2,S02,2010,3,D,0.005638034,9.345575687,0.433088405,0.081884802
2,S02,2010,3,D,0.00575605,9.5026623,0.433360038,0.09586462
2,S02,2010,3,D,0.005838322,9.44081445,0.405845848,0.087219662
2,S02,2010,3,W,0.008316401,11.52338647,0.779921389,0.122100658
2,S02,2010,3,W,0.008314476,11.5434779,0.774988361,0.113139967
2,S02,2010,3,W,0.008314171,11.54740455,0.762174369,0.099839855
2,S02,2010,4,D,0.007518684,13.02681346,0.605758222,0.160203772
2,S02,2010,4,D,0.00751874,13.04401896,0.600040982,0.145449247
2,S02,2010,4,D,0.007525008,13.02521888,0.576148667,0.127684359
2,S02,2010,4,D,0.006742245,9.971377353,0.502274614,0.075678457
2,S02,2010,4,W,0.008629445,10.05188621,0.689760063,0.114212934
2,S02,2010,4,W,0.008629079,10.0554671,0.688190144,0.104310132
2,S02,2010,4,W,0.008630008,10.04861455,0.676971698,0.095029562
3,S02,2010,3,D,0.009447617,13.20255929,0.772434258,0.146797108
3,S02,2010,3,D,0.009489755,13.77864696,0.759586934,0.15489803
3,S02,2010,3,D,0.009474597,13.76180832,0.747107879,0.137718613
3,S02,2010,3,W,0.00821294,10.86569848,0.700283087,0.110030035
3,S02,2010,3,W,0.008210281,10.87136903,0.695278996,0.099297266
3,S02,2010,3,W,0.008210485,10.86770588,0.683467668,0.088722914
3,S02,2010,4,D,0.002731442,8.998068319,0.166755375,0.092495744
3,S02,2010,4,D,0.002726487,8.985179999,0.166109077,0.088187722
3,S02,2010,4,D,0.002716296,8.971757185,0.163256051,0.073480171
3,S02,2010,4,W,0.005297772,10.10281741,0.384633758,0.089720302
3,S02,2010,4,W,0.00530019,10.09444355,0.383954176,0.087203509
3,S02,2010,4,W,0.00531352,10.10721204,0.37478053,0.074339754
4,S02,2010,3,W,0.008537171,18.03048263,0.721208329,0.208898939
4,S02,2010,3,W,0.008530386,18.03163004,0.716081255,0.191076434
4,S02,2010,3,W,0.008525539,18.04208839,0.703523789,0.16915727
4,S02,2010,4,D,0.001685306,6.353145223,0.106347255,0.069189547
4,S02,2010,4,D,0.001671236,6.342770677,0.104592065,0.066886943
4,S02,2010,4,D,0.001653147,6.326867652,0.101363163,0.058755209
4,S02,2010,4,W,0.009520574,11.69529599,0.864584428,0.125565202
4,S02,2010,4,W,0.009526227,11.68571581,0.861198871,0.115242582
4,S02,2010,4,W,0.009534474,11.69650956,0.850626816,0.106030252
5,S02,2010,3,D,0.003631958,13.18828223,0.213702459,0.19838956
5,S02,2010,3,D,0.003701521,12.6794475,0.204358661,0.196486023
5,S02,2010,3,D,0.003702104,12.67237121,0.203292174,0.174622818
5,S02,2010,3,W,0.008946231,14.28685788,0.686267105,0.128221868
5,S02,2010,3,W,0.008120577,12.70301722,0.599386996,0.14875394
5,S02,2010,3,W,0.008076685,12.70035958,0.591044348,0.134732552
5,S02,2010,4,D,0.007997803,16.53439338,0.654031219,0.192216435
5,S02,2010,4,D,0.00799073,16.49976177,0.649636201,0.175991627
5,S02,2010,4,D,0.007986182,16.49561512,0.636213779,0.158310626
5,S02,2010,4,W,0.003287937,7.697267081,0.166652895,0.097742962
5,S02,2010,4,W,0.003286579,7.701098644,0.166086318,0.092361895
5,S02,2010,4,W,0.003285606,7.700548822,0.164433069,0.084285326
6,S02,2010,3,W,0.00543274,13.59288881,0.397253932,0.16186436
6,S02,2010,3,W,0.005429202,13.5881103,0.393921182,0.1464526
6,S02,2010,3,W,0.005429417,13.57981485,0.389143741,0.130920098
6,S02,2010,4,D,0.006361503,15.76519877,0.452267077,0.191063433
