ID_Year1,ID,Year,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S02_2010,S02,2010,Sweetwater River,32.89928,-116.5849,1168,13.6,22,7.9,14.2,918,17,25.7,1300.1,33,3207,2000,395,313,112,326,215,8,-14.1,43,1291,879,20.1,56
S07_2010,S07,2010,West Fork Mojave River,34.28425,-117.375389,1092,14.1,23.1,8.1,14.9,938,11,25.7,2140.6,29,3374,1884,452,329,85,340,255,7,-12.8,41.8,1214,869,17.8,61
S08_2010,S08,2010,Redwood Creek,36.69096,-118.909607,1682,9.8,19.9,3.6,16.3,1221,21,16.2,928,120,2104,3147,174,246,147,297,150,95,-23.2,38.3,985,646,20.5,61
S10_2010,S10,2010,North Fork Middle Fork Tule,36.20081,-118.650917,1288,12.6,22.9,5.9,17,1090,16,20.8,1416.7,56,2907,2361,403,312,103,326,223,23,-16,40.6,1072,729,19.7,65
S11_2010,S11,2010,Mill Creek,34.07808,-116.87558,1990,8.3,17.9,2,15.9,1131,16,16.2,1117.8,170,1711,3601,80,199,179,280,101,128,-26.8,36.6,1033,676,22.4,56
S15_2010,S15,2010,Rock Creek,43.37876,-122.952072,1168,10.4,18.6,5.8,12.9,3109,577,6.6,32.3,73,2154,2906,148,302,122,325,202,110,-16.4,38.2,806,251,12.8,69
S16_2010,S16,2010,O'Neil Creek,41.80979,-123.118874,1092,11.2,21.6,5.3,16.2,1105,109,19.2,198.3,77,2478,2745,307,288,138,318,179,34,-17.9,40.2,946,554,14.6,65
S17_2010,S17,2010,Deep Creek,41.66546,-123.113411,680,12.5,23.9,5,18.9,201,61,112.1,388.5,69,2914,2471,495,290,132,315,183,4,-19.3,42.8,1092,923,15.4,59
S18_2010,S18,2010,Little Jameson Creek,39.74298,-120.70401,1593,8.7,19.1,2.2,16.9,1764,104,10.6,182.7,169,1858,3501,124,214,176,282,106,197,-26.3,38.5,956,574,17.4,57
S29_2010,S29,2010,Oregon Creek,39.39442,-121.083023,440,15.6,25.7,8.7,17,1794,83,14.3,310.4,23,3897,1636,731,339,68,342,274,10,-13.8,44.5,1244,756,16.2,58
S32_2010,S32,2010,Wawona,37.539,-119.653999,1214,12.2,21.9,6.1,15.8,1282,34,17.4,649.9,57,2771,2432,336,280,137,308,171,28,-20.1,41.2,1142,720,19.6,57
S36_2010,S36,2010,Deer Creek,42.27411,-123.636169,393,12.1,21.3,5.8,15.4,1753,171,12.6,124.2,54,2717,2435,309,294,128,303,175,30,-17.4,42.8,1099,594,13.5,56
S02_2011,S02,2011,Sweetwater River,32.89928,-116.5849,1168,13.5,22.2,6.7,15.5,575,55,40.8,406.5,41,3167,2074,403,301,109,321,212,5,-14.1,43,1310,896,-9999,55
S07_2011,S07,2011,West Fork Mojave River,34.28425,-117.37539,1092,13.8,22.5,6.9,15.7,479,55,49.7,412.3,38,3287,1988,447,315,91,333,242,4,-12.8,41.8,1220,852,-9999,60
S08_2011,S08,2011,Redwood Creek,36.69096,-118.90961,1682,9.3,19.1,2.1,17,752,67,25.6,284.3,165,2035,3336,169,227,148,299,151,92,-23.2,38.3,979,624,-9999,59
S10_2011,S10,2011,North Fork Middle Fork Tule,36.20081,-118.65092,1288,12.1,22,4.5,17.5,656,52,33.7,421.4,81,2798,2540,387,288,112,319,207,21,-16,40.6,1065,739,-9999,63
S11_2011,S11,2011,Mill Creek,34.07808,-116.87558,1990,8,17.4,0.9,16.5,618,79,29.2,219.1,207,1701,3688,78,192,175,283,108,87,-26.8,36.6,1043,650,-9999,54
S15_2011,S15,2011,Rock Creek,43.37876,-122.95207,1168,9.7,19.1,3.1,15.9,2377,357,8.3,53.5,124,2057,3191,170,271,133,318,185,154,-16.4,38.2,801,336,-9999,68
S16_2011,S16,2011,O'Neil Creek,41.80979,-123.11887,1092,10.7,21.6,2.8,18.8,833,101,24.8,214.6,124,2422,2981,336,260,140,313,174,47,-17.9,40.2,944,565,-9999,63
S17_2011,S17,2011,Deep Creek,41.66546,-123.11341,680,12,23.6,2.5,21.1,144,61,153.1,388.8,115,2857,2707,527,262,134,311,177,4,-19.3,42.8,1089,931,-9999,57
S18_2011,S18,2011,Little Jameson Creek,39.74298,-120.70401,1593,8.2,18.4,0.4,18,1057,152,17.2,120.6,241,1828,3698,131,196,168,287,119,229,-26.3,38.5,942,548,-9999,54
S29_2011,S29,2011,Oregon Creek,39.39442,-121.08302,440,15,25,7.3,17.8,1087,109,23,229.1,36,3735,1830,737,312,87,329,242,8,-13.8,44.5,1240,774,-9999,56
S32_2011,S32,2011,Wawona,37.539,-119.654,1214,11.8,21.5,4.9,16.5,862,78,25.3,275.8,82,2676,2622,352,255,138,306,168,32,-20.1,41.2,1140,744,-9999,54
S36_2011,S36,2011,Deer Creek,42.27411,-123.63617,393,11.5,21.2,3.2,18,1364,144,15.7,147.6,94,2602,2695,327,264,134,298,164,40,-17.4,42.8,1096,627,-9999,54
S02_2012,S02,2012,Sweetwater River,32.89928,-116.5849,1168,14.3,23.6,8.1,15.5,443,33,54.9,722.1,33,3448,1853,492,316,91,332,240,4,-14.1,43,1339,978,-9999,56
S07_2012,S07,2012,West Fork Mojave River,34.28425,-117.37539,1092,14.8,24,8.3,15.7,449,45,55.2,529.4,29,3615,1740,547,330,69,342,273,2,-12.8,41.8,1258,895,-9999,60
S08_2012,S08,2012,Redwood Creek,36.69096,-118.90961,1682,10.5,20.7,3.6,17.1,846,25,24.2,836.6,118,2323,2961,220,247,124,304,180,44,-23.2,38.3,1040,699,-9999,59
