Measurement,Time,AMPM,WP1,WP2,WP3,WP4
2018-07-01,2:00:00,PM,-10.8,-11.6,-11.8,-11.3
2018-07-01,3:00:00,PM,-10.6,-11.3,-11.7,-11.1
2018-07-01,4:00:00,PM,-10.7,-11.3,-11.7,-11
2018-07-01,5:00:00,PM,-10.7,-11.3,-11.7,-11.2
2018-07-01,6:00:00,PM,-10.5,-11.2,-11.6,-11.2
2018-07-01,7:00:00,PM,-10.7,-11.2,-11.6,-11.2
2018-07-01,8:00:00,PM,-10.6,-11.1,-11.6,-11.1
2018-07-01,9:00:00,PM,-10.6,-11,-11.6,-11.1
2018-07-01,10:00:00,PM,-10.6,-10.9,-11.5,-11.1
2018-07-01,11:00:00,PM,-10.5,-10.8,-11.5,-11.1
2018-07-02,12:00:00,AM,-10.5,-10.8,-11.5,-11
2018-07-02,1:00:00,AM,-10.5,-10.7,-11.4,-11
2018-07-02,2:00:00,AM,-10.4,-10.7,-11.4,-11
2018-07-02,3:00:00,AM,-10.4,-10.7,-11.4,-11
2018-07-02,4:00:00,AM,-10.4,-10.6,-11.4,-10.9
2018-07-02,5:00:00,AM,-10.4,-10.6,-11.4,-10.9
2018-07-02,6:00:00,AM,-10.4,-10.6,-11.4,-10.9
2018-07-02,7:00:00,AM,-10.4,-10.6,-11.3,-10.9
2018-07-02,8:00:00,AM,-10.4,-10.6,-11.4,-10.9
2018-07-02,9:00:00,AM,-10.3,-10.5,-11.3,-10.8
2018-07-02,10:00:00,AM,-10.4,-10.7,-11.3,-11
2018-07-02,11:00:00,AM,-10.4,-10.7,-11.3,-11
2018-07-02,12:00:00,PM,-10.4,-10.7,-11.3,-11
2018-07-02,1:00:00,PM,-10.2,-10.8,-11.3,-11
2018-07-02,2:00:00,PM,-10.4,-10.7,-11.3,-11
2018-07-02,3:00:00,PM,-10.2,-10.5,-11.2,-10.7
2018-07-02,4:00:00,PM,-10.3,-10.5,-11.2,-10.7
2018-07-02,5:00:00,PM,-10.3,-10.5,-11.2,-10.8
2018-07-02,6:00:00,PM,-10.1,-10.5,-11.1,-10.8
2018-07-02,7:00:00,PM,-10.2,-10.5,-11.1,-10.8
2018-07-02,8:00:00,PM,-10.2,-10.5,-11.1,-10.8
2018-07-02,9:00:00,PM,-10.2,-10.4,-11.1,-10.7
2018-07-02,10:00:00,PM,-10.1,-10.3,-11.1,-10.7
2018-07-02,11:00:00,PM,-10.1,-10.2,-11,-10.6
2018-07-03,12:00:00,AM,-10,-10.2,-11,-10.6
2018-07-03,1:00:00,AM,-10,-10.2,-11,-10.6
2018-07-03,2:00:00,AM,-10,-10.2,-11,-10.6
2018-07-03,3:00:00,AM,-10,-10.1,-11,-10.6
2018-07-03,4:00:00,AM,-10,-10.1,-11,-10.6
2018-07-03,5:00:00,AM,-10,-10.1,-10.9,-10.6
2018-07-03,6:00:00,AM,-10,-10.1,-10.9,-10.6
2018-07-03,7:00:00,AM,-10,-10.1,-10.9,-10.6
2018-07-03,8:00:00,AM,-10,-10.1,-10.9,-10.6
2018-07-03,9:00:00,AM,-9.9,-10.1,-10.9,-10.4
2018-07-03,10:00:00,AM,-10,-10.3,-11,-10.7
2018-07-03,11:00:00,AM,-10,-10.3,-11,-10.7
2018-07-03,12:00:00,PM,-10,-10.3,-11,-10.6
2018-07-03,1:00:00,PM,-9.8,-10.3,-10.9,-10.6
2018-07-03,2:00:00,PM,-10,-10.3,-11,-10.6
2018-07-03,3:00:00,PM,-9.8,-10.1,-10.9,-10.4
2018-07-03,4:00:00,PM,-9.9,-10.2,-10.9,-10.4
2018-07-03,5:00:00,PM,-9.9,-10.2,-10.9,-10.5
2018-07-03,6:00:00,PM,-9.7,-10.2,-10.8,-10.5
2018-07-03,7:00:00,PM,-9.9,-10.2,-10.9,-10.5
2018-07-03,8:00:00,PM,-9.9,-10.2,-10.9,-10.5
2018-07-03,9:00:00,PM,-9.9,-10.1,-10.8,-10.5
2018-07-03,10:00:00,PM,-9.9,-10,-10.8,-10.4
2018-07-03,11:00:00,PM,-9.8,-10,-10.8,-10.4
2018-07-04,12:00:00,AM,-9.8,-10,-10.7,-10.4
2018-07-04,1:00:00,AM,-9.8,-10,-10.7,-10.4
2018-07-04,2:00:00,AM,-9.8,-9.9,-10.7,-10.4
2018-07-04,3:00:00,AM,-9.8,-9.9,-10.7,-10.4
2018-07-04,4:00:00,AM,-9.8,-9.9,-10.7,-10.4
2018-07-04,5:00:00,AM,-9.8,-9.9,-10.7,-10.4
2018-07-04,6:00:00,AM,-9.8,-9.9,-10.7,-10.3
2018-07-04,7:00:00,AM,-9.8,-9.9,-10.7,-10.3
2018-07-04,8:00:00,AM,-9.8,-9.9,-10.7,-10.4
2018-07-04,9:00:00,AM,-9.7,-9.9,-10.7,-10.2
2018-07-04,10:00:00,AM,-9.8,-10,-10.8,-10.4
2018-07-04,11:00:00,AM,-9.8,-10.1,-10.8,-10.5
2018-07-04,12:00:00,PM,-9.8,-10.1,-10.8,-10.5
2018-07-04,1:00:00,PM,-9.6,-10.1,-10.7,-10.5
2018-07-04,2:00:00,PM,-9.8,-10.1,-10.8,-10.5
2018-07-04,3:00:00,PM,-9.7,-10,-10.8,-10.4
2018-07-04,4:00:00,PM,-9.7,-10,-10.7,-10.2
2018-07-04,5:00:00,PM,-9.8,-10,-10.7,-10.4
2018-07-04,6:00:00,PM,-9.6,-10,-10.7,-10.4
2018-07-04,7:00:00,PM,-9.7,-10,-10.7,-10.4
2018-07-04,8:00:00,PM,-9.7,-10,-10.7,-10.4
2018-07-04,9:00:00,PM,-9.7,-9.9,-10.7,-10.3
2018-07-04,10:00:00,PM,-9.7,-9.9,-10.6,-10.3
2018-07-04,11:00:00,PM,-9.7,-9.9,-10.6,-10.3
2018-07-05,12:00:00,AM,-9.7,-9.9,-10.6,-10.3
2018-07-05,1:00:00,AM,-9.7,-9.8,-10.6,-10.3
2018-07-05,2:00:00,AM,-9.6,-9.8,-10.6,-10.3
2018-07-05,3:00:00,AM,-9.6,-9.8,-10.6,-10.3
2018-07-05,4:00:00,AM,-9.6,-9.8,-10.6,-10.3
2018-07-05,5:00:00,AM,-9.6,-9.8,-10.6,-10.2
2018-07-05,6:00:00,AM,-9.6,-9.8,-10.6,-10.2
2018-07-05,7:00:00,AM,-9.6,-9.8,-10.6,-10.2
2018-07-05,8:00:00,AM,-9.6,-9.8,-10.6,-10.2
2018-07-05,9:00:00,AM,-9.5,-9.7,-10.6,-10.1
2018-07-05,10:00:00,AM,-9.6,-9.9,-10.6,-10.3
2018-07-05,11:00:00,AM,-9.7,-9.9,-10.6,-10.4
2018-07-05,12:00:00,PM,-9.6,-9.9,-10.6,-10.4
2018-07-05,1:00:00,PM,-9.5,-10,-10.5,-10.4
2018-07-05,2:00:00,PM,-9.6,-10,-10.6,-10.4
2018-07-05,3:00:00,PM,-9.5,-9.8,-10.6,-10.3
2018-07-05,4:00:00,PM,-9.6,-9.9,-10.5,-10.1
2018-07-05,5:00:00,PM,-9.6,-9.9,-10.5,-10.3
2018-07-05,6:00:00,PM,-9.5,-9.9,-10.5,-10.3
2018-07-05,7:00:00,PM,-9.6,-9.9,-10.5,-10.3
2018-07-05,8:00:00,PM,-9.6,-9.8,-10.5,-10.2
2018-07-05,9:00:00,PM,-9.6,-9.8,-10.5,-10.2
2018-07-05,10:00:00,PM,-9.6,-9.8,-10.5,-10.1
2018-07-05,11:00:00,PM,-9.5,-9.7,-10.5,-10.1
2018-07-06,12:00:00,AM,-9.5,-9.7,-10.4,-10.1
2018-07-06,1:00:00,AM,-9.5,-9.7,-10.4,-10.1
2018-07-06,2:00:00,AM,-9.5,-9.7,-10.4,-10.1
2018-07-06,3:00:00,AM,-9.5,-9.7,-10.4,-10
2018-07-06,4:00:00,AM,-9.5,-9.7,-10.4,-10
2018-07-06,5:00:00,AM,-9.5,-9.7,-10.4,-10
2018-07-06,6:00:00,AM,-9.5,-9.7,-10.4,-10
2018-07-06,7:00:00,AM,-9.5,-9.7,-10.4,-10
2018-07-06,8:00:00,AM,-9.5,-9.7,-10.4,-10
2018-07-06,9:00:00,AM,-9.5,-9.7,-10.4,-10.1
2018-07-06,10:00:00,AM,-9.4,-9.7,-10.4,-9.9
2018-07-06,11:00:00,AM,-9.5,-9.8,-10.4,-10.2
2018-07-06,12:00:00,PM,-9.6,-9.8,-10.5,-10.2
2018-07-06,1:00:00,PM,-9.3,-9.8,-10.4,-10.2
2018-07-06,2:00:00,PM,-9.5,-9.8,-10.5,-10.1
2018-07-06,3:00:00,PM,-9.4,-9.7,-10.5,-10.1
2018-07-06,4:00:00,PM,-9.4,-9.8,-10.4,-10
2018-07-06,5:00:00,PM,-9.5,-9.8,-10.5,-10.2
2018-07-06,6:00:00,PM,-9.3,-9.8,-10.4,-10.1
2018-07-06,7:00:00,PM,-9.4,-9.7,-10.4,-10.1
2018-07-06,8:00:00,PM,-9.4,-9.7,-10.4,-10.1
2018-07-06,9:00:00,PM,-9.4,-9.7,-10.4,-10.1
